dataset_name;run_id;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;recall_4;precision_4;recall_5;precision_5;dataset_size;abs_4;rel_4;abs_1;rel_1;abs_0;rel_0;abs_3;rel_3;abs_2;rel_2;abs_5;rel_5;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
dair-ai_emotion;0;random;0.482;0.286;0.751;0.431;0.705;0.536;0.039;0.412;0.025;0.389;0.198;0.519;0.000;0.000;48;5;0.10;15;0.31;20;0.42;4;0.08;3;0.06;1;0.02;3;12;balanced;random;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;1;random;0.602;0.422;0.771;0.576;0.794;0.658;0.073;0.500;0.309;0.563;0.571;0.526;0.012;0.143;48;8;0.17;17;0.35;13;0.27;4;0.08;3;0.06;3;0.06;3;12;balanced;random;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;2;max_entropy;0.505;0.368;0.411;0.497;0.803;0.566;0.062;0.579;0.400;0.313;0.425;0.542;0.111;0.900;48;7;0.15;13;0.27;13;0.27;8;0.17;4;0.08;3;0.06;3;12;balanced;max_entropy;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;3;max_entropy;0.566;0.373;0.607;0.562;0.891;0.563;0.107;0.442;0.287;0.705;0.344;0.529;0.000;0.000;48;7;0.15;15;0.31;12;0.25;7;0.15;5;0.10;2;0.04;3;12;balanced;max_entropy;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;4;max_entropy_balanced;0.600;0.435;0.622;0.645;0.849;0.603;0.090;0.593;0.458;0.492;0.528;0.605;0.062;0.500;48;9;0.19;11;0.23;13;0.27;8;0.17;4;0.08;3;0.06;3;12;balanced;max_entropy;0.25;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;5;max_entropy_balanced;0.571;0.395;0.633;0.526;0.858;0.616;0.146;0.377;0.313;0.723;0.335;0.438;0.086;0.875;48;7;0.15;12;0.25;13;0.27;6;0.12;7;0.15;3;0.06;3;12;balanced;max_entropy;0.25;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;6;random;0.508;0.313;0.640;0.513;0.790;0.576;0.096;0.172;0.262;0.365;0.090;0.396;0.000;0.000;48;3;0.06;20;0.42;12;0.25;6;0.12;5;0.10;2;0.04;3;12;balanced;random;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;7;random;0.533;0.411;0.542;0.633;0.672;0.733;0.051;0.346;0.545;0.408;0.632;0.291;0.025;0.067;48;9;0.19;11;0.23;13;0.27;10;0.21;2;0.04;3;0.06;3;12;balanced;random;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;8;max_entropy;0.588;0.422;0.727;0.580;0.768;0.635;0.096;0.415;0.338;0.705;0.580;0.444;0.025;0.250;48;7;0.15;14;0.29;12;0.25;8;0.17;4;0.08;3;0.06;3;12;balanced;max_entropy;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;9;max_entropy;0.552;0.380;0.691;0.545;0.771;0.629;0.140;0.333;0.204;0.629;0.476;0.367;0.000;0.000;48;8;0.17;16;0.33;8;0.17;6;0.12;7;0.15;3;0.06;3;12;balanced;max_entropy;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
